id,stationName,totalDocks
3165,Central Park West & W 72 St,51
3166,Riverside Dr & W 72 St,41
3167,Amsterdam Ave & W 73 St,55
3168,Central Park West & W 85 St,31
3169,Riverside Dr & W 82 St,39
3170,W 84 St & Columbus Ave,35
3171,Amsterdam Ave & W 82 St,39
3172,W 74 St & Columbus Ave,27
3173,Riverside Blvd & W 67 St,39
3175,W 70 St & Amsterdam Ave,31
3177,W 84 St & Broadway,63
3178,Riverside Dr & W 78 St,39
3179,Park Ave & Marcus Garvey Blvd,23
3180,Brooklyn Bridge Park - Pier 2,0
3183,Exchange Place,30
3184,Paulus Hook,14
3185,City Hall,22
3186,Grove St PATH,42
3187,Warren St,22
3191,Union St,18
3192,Liberty Light Rail,22
3193,Lincoln Park,18
3194,McGinley Square,22
3196,Riverview Park,18
3198,Heights Elevator,18
3199,Newport Pkwy,14
3201,Dey St,18
3202,Newport PATH,18
3203,Hamilton Park,26
3205,JC Medical Center,22
3206,Hilltop,26
3207,Oakland Ave,26
3209,Brunswick St,22
3210,Pershing Field,18
3211,Newark Ave,22
3212,Christ Hospital,22
3213,Van Vorst Park,22
3214,Essex Light Rail,21
3220,5 Corners Library,18
3221,47 Ave & 31 St,27
3225,Baldwin at Montgomery,14
3226,W 82 St & Central Park West,45
3231,E 67 St & Park Ave,39
3232,Bond St & Fulton St,31
3235,E 41 St & Madison Ave,31
3241,Monroe St & Tompkins Ave,19
3242,Schermerhorn St & Court St,39
3243,E 58 St & 1 Ave (NE Corner),29
3244,University Pl & E 8 St,42
3249,Verona Pl & Fulton St,19
3256,Pier 40 - Hudson River Park,23
3258,W 27 St & 10 Ave,37
3259,9 Ave & W 28 St,27
3260,Mercer St & Bleecker St,3
3263,Cooper Square & Astor Pl,59
3267,Morris Canal,14
3268,Lafayette Park,14
3269,Brunswick & 6th,14
3270,Jersey & 6th St,14
3272,Jersey & 3rd,14
3273,Manila & 1st,18
3275,Columbus Drive,14
3276,Marin Light Rail,26
3277,Communipaw & Berry Lane,14
3278,Monmouth and 6th,14
3279,Dixon Mills,18
3280,Astor Place,14
3281,Leonard Gordon Park,14
3282,5 Ave & E 88 St,38
3283,W 89 St & Columbus Ave,47
3284,E 88 St & Park Ave,38
3285,W 87 St & Amsterdam Ave,43
3286,E 89 St & 3 Ave,23
3288,E 88 St & 1 Ave,39
3289,W 90 St & Amsterdam Ave,32
3290,E 89 St & York Ave,35
3292,5 Ave & E 93 St,43
3293,W 92 St & Broadway,24
3294,E 91 St & Park Ave,38
3295,Central Park W & W 96 St,59
3296,E 93 St & 2 Ave,42
3297,6 St & 7 Ave,21
3298,Warren St & Court St,23
3299,E 98 St & Park Ave,25
3300,Prospect Park West & 8 St,25
3301,Columbus Ave & W 95 St,39
3302,Columbus Ave & W 103 St,22
3303,Butler St & Court St,25
3304,6 Ave & 9 St,27
3305,E 91 St & 2 Ave,39
3306,10 St & 7 Ave,23
3307,West End Ave & W 94 St,31
3308,Kane St & Clinton St,27
3309,E 97 St & 3 Ave,30
3310,14 St & 7 Ave,24
3311,Columbia St & Kane St,21
3312,1 Ave & E 94 St,39
3313,6 Ave & 12 St,29
3314,W 95 St & Broadway,32
3315,Henry St & Degraw St,23
3317,10 St & 5 Ave,24
3318,2 Ave & E 96 St,39
3319,14 St & 5 Ave,21
3320,Central Park West & W 100 St,49
3321,Clinton St & Union St,25
3322,12 St & 4 Ave,25
3323,W 106 St & Central Park West,59
3324,3 Ave & 14 St,25
3326,Clinton St & Centre St,21
3327,3 Ave & E 100 St,27
3328,W 100 St & Manhattan Ave,39
3329,Degraw St & Smith St,27
3330,Henry St & Bay St,19
3331,Riverside Dr & W 104 St,39
3332,Degraw St & Hoyt St,19
3333,Columbia St & Lorraine St,21
3335,Union St & 4 Ave,28
3336,E 97 St & Madison Ave,41
3337,Dwight St & Van Dyke St,23
3338,2 Ave & E 99 St,31
3339,Berkeley Pl & 6 Ave,23
3340,Wolcott St & Dwight St,21
3341,Central Park West & W 102 St,41
3342,Pioneer St & Richards St,23
3343,W 107 St & Columbus Ave,23
3344,Pioneer St & Van Brunt St,19
3345,Madison Ave & E 99 St,35
3346,Berkeley Pl & 7 Ave,29
3347,Van Brunt St & Wolcott St,21
3348,Coffey St & Conover St,19
3349,Grand Army Plaza & Plaza St West,30
3350,W 100 St & Broadway,39
3351,E 102 St & 1 Ave,25
3352,Sigourney St & Columbia St,21
3354,3 St & Prospect Park West,31
3355,E 66 St & Madison Ave,25
3356,Amsterdam Ave & W 66 St,21
3357,W 106 St & Amsterdam Ave,35
3358,Garfield Pl & 8 Ave,25
3359,E 68 St & Madison Ave,35
3360,Amsterdam Ave & W 79 St,25
3361,Carroll St & 6 Ave,23
3362,Madison Ave & E 82 St,34
3363,E 102 St & Park Ave,33
3364,Carroll St & 5 Ave,27
3365,3 St & 7 Ave,27
3366,West End Ave & W 107 St,31
3367,5 Ave & E 103 St,39
3368,5 Ave & 3 St,30
3369,E 82 St & East End Ave,29
3370,E 78 St & 2 Ave,25
3371,4 Ave & 2 St,27
3372,E 74 St & 1 Ave,39
3373,3 St & 3 Ave,27
3374,Central Park North & Adam Clayton Powell Blvd,36
3375,3 Ave & E 72 St,35
3376,E 65 St & 2 Ave,39
3377,Carroll St & Bond St,25
3378,E 76 St & Park Ave,28
3379,E 103 St & Lexington Ave,35
3381,3 St & Hoyt St,21
3382,Carroll St & Smith St,31
3383,Cathedral Pkwy & Broadway,25
3384,Smith St & 3 St,25
3386,1 Pl & Clinton St,27
3387,E 106 St & Madison Ave,25
3388,President St & Henry St,25
3389,Carroll St & Columbia St,28
3390,E 109 St & 3 Ave,24
3391,E 106 St & 1 Ave,25
3392,Commerce St & Van Brunt St,19
3393,Richards St & Delavan St,19
3394,Columbia St & W 9 St,21
3395,Henry St & W 9 St,19
3396,Clinton St & 4 Place,25
3397,Court St & Nelson St,25
3398,Smith St & 9 St,23
3399,7 St & 3 Ave,24
3400,E 110 St & Madison Ave,24
3401,2 Ave & 9 St,19
3402,Court St & State St,23
3403,4 Ave & 9 St,31
3404,7 St & 5 Ave,27
3405,5 St & 6 Ave,23
3407,Union St & Nevins St,23
3408,Congress St & Clinton St,27
3409,Bergen St & Smith St,35
3410,Dean St & Hoyt St,31
3411,Bond St & Bergen St,27
3412,Pacific St & Nevins St,18
3413,Wyckoff St & 3 Ave,22
3414,Bergen St & Flatbush Ave,33
3415,Prospect Pl & 6 Ave,25
